Year,Program,Category,Expense,Revenue
2018,Toronto Transit Commission - Wheel Trans,Other Expenditures,98400.02,
2018,Toronto Transit Commission - Wheel Trans,Salaries And Benefits,61366300,
2018,Toronto Transit Commission - Wheel Trans,Service And Rent,75196600.37,
2018,Toronto Water,Contribution To Reserves/Reserve Funds,852724297.1,
2018,Toronto Water,Equipment,3200473.93,
2018,Toronto Water,Inter-Divisional Charges,65831653.76,
2018,Toronto Water,Materials & Supplies,107410053.7,
2018,Toronto Water,Other Expenditures,18894954.44,
2018,Toronto Water,Salaries And Benefits,178641407.1,
2018,Toronto Water,Service And Rent,62274238.79,
2018,Toronto Zoo,Contribution To Reserves/Reserve Funds,990087.3,
2018,Toronto Zoo,Equipment,377919.86,
2018,Toronto Zoo,Materials & Supplies,8646814.55,
2018,Toronto Zoo,Other Expenditures,3747.37,
2018,Toronto Zoo,Salaries And Benefits,30564295.94,
2018,Toronto Zoo,Service And Rent,11509164.64,
2018,Transportation Services,Contribution To Reserves/Reserve Funds,22509733.02,
2018,Transportation Services,Equipment,822155.13,
2018,Transportation Services,Inter-Divisional Charges,25059045.64,
2018,Transportation Services,Materials & Supplies,53511859.89,
2018,Transportation Services,Other Expenditures,1070158.5,
2018,Transportation Services,Salaries And Benefits,108345117.9,
2018,Transportation Services,Service And Rent,197884532.4,
2018,Yonge-Dundas Square,Contribution To Reserves/Reserve Funds,2994.33,
2018,Yonge-Dundas Square,Equipment,40000,
2018,Yonge-Dundas Square,Materials & Supplies,252080.18,
2018,Yonge-Dundas Square,Salaries And Benefits,708779,
2018,Yonge-Dundas Square,Service And Rent,2102635.04,
2018,311 Toronto,Contribution From Reserves/Reserve Funds,,290495
2018,311 Toronto,Inter-Divisional Recoveries,,6550506.27
2018,311 Toronto,Sundry and Other Revenues,,18000
2018,311 Toronto,Transfers from Capital Fund,,1939766.85
2018,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,498999
2018,Affordable Housing Office,Inter-Divisional Recoveries,,133608.18
2018,Affordable Housing Office,Provincial Subsidies,,1867816.77
2018,Arena Boards of Management,Sundry and Other Revenues,,1082900.5
2018,Arena Boards of Management,User Fees & Donations,,7931182.58
2018,Association of Community Centres,Sundry and Other Revenues,,1500
2018,Association of Community Centres,User Fees & Donations,,301197
2018,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,39927745.43
2018,Capital & Corporate Finance / Non-Program,Inter-Divisional Recoveries,,2250011
2018,Capital & Corporate Finance / Non-Program,Provincial Subsidies,,3602805
2018,Capital & Corporate Finance / Non-Program,Sundry and Other Revenues,,2048896.04
2018,Children's Services,Contribution From Reserves/Reserve Funds,,19581201
2018,Children's Services,Federal Subsidies,,21500000
2018,Children's Services,Inter-Divisional Recoveries,,10200000
2018,Children's Services,Provincial Subsidies,,452714058.9
2018,Children's Services,Transfers from Capital Fund,,533029
2018,Children's Services,User Fees & Donations,,34191100.19
2018,City Clerk's Office,Contribution From Reserves/Reserve Funds,,17274179.87
2018,City Clerk's Office,Inter-Divisional Recoveries,,10135266.57
2018,City Clerk's Office,Sundry and Other Revenues,,640027.35
2018,City Clerk's Office,Transfers from Capital Fund,,847386.43
2018,City Clerk's Office,User Fees & Donations,,336162.62
2018,City Council,Contribution From Reserves/Reserve Funds,,2797000
2018,City Manager's Office,Inter-Divisional Recoveries,,5475566.16
2018,City Manager's Office,Other Subsidies,,650000
2018,City Manager's Office,Sundry and Other Revenues,,586297.77
2018,City Manager's Office,Transfers from Capital Fund,,2689319.45
2018,City Planning,Contribution From Reserves/Reserve Funds,,2724490.4
2018,City Planning,Sundry and Other Revenues,,1637367.76
2018,City Planning,Transfers from Capital Fund,,2942948.43
2018,City Planning,User Fees & Donations,,28711400
2018,Court Services,Inter-Divisional Recoveries,,6216701.35
2018,Court Services,Sundry and Other Revenues,,42347550.08
2018,Court Services,User Fees & Donations,,283590
2018,CreateTO,Sundry and Other Revenues,,11434000.08
2018,Economic Development & Culture,Contribution From Reserves/Reserve Funds,,1050390.49
2018,Economic Development & Culture,Federal Subsidies,,111672
2018,Economic Development & Culture,Licences & Permits Revenue,,1296123.46
2018,Economic Development & Culture,Other Subsidies,,37000
2018,Economic Development & Culture,Provincial Subsidies,,1136033
2018,Economic Development & Culture,Sundry and Other Revenues,,4534687
2018,Economic Development & Culture,Transfers from Capital Fund,,1156000
2018,Economic Development & Culture,User Fees & Donations,,1311830.04
2018,Engineering & Construction Services,Inter-Divisional Recoveries,,1682475
2018,Engineering & Construction Services,Licences & Permits Revenue,,1729750
2018,Engineering & Construction Services,Sundry and Other Revenues,,2746365.89
2018,Engineering & Construction Services,Transfers from Capital Fund,,55863089.81
2018,Engineering & Construction Services,User Fees & Donations,,9117001.2
2018,Exhibition Place,Contribution From Reserves/Reserve Funds,,1732500
2018,Exhibition Place,Sundry and Other Revenues,,12823526
2018,Exhibition Place,User Fees & Donations,,40704572
2018,"Facilities, Real Estate, Environment & Energy",Contribution From Reserves/Reserve Funds,,9083351.83
2018,"Facilities, Real Estate, Environment & Energy",Federal Subsidies,,205959.05
2018,"Facilities, Real Estate, Environment & Energy",Inter-Divisional Recoveries,,49600866.17
2018,"Facilities, Real Estate, Environment & Energy",Provincial Subsidies,,293000
2018,"Facilities, Real Estate, Environment & Energy",Sundry and Other Revenues,,10927578.91
2018,"Facilities, Real Estate, Environment & Energy",Transfers from Capital Fund,,10818434.13
2018,"Facilities, Real Estate, Environment & Energy",User Fees & Donations,,44992868.03
2018,Fire Services,Contribution From Reserves/Reserve Funds,,200000
2018,Fire Services,Inter-Divisional Recoveries,,219104
2018,Fire Services,Provincial Subsidies,,400000
2018,Fire Services,Sundry and Other Revenues,,110800.35
2018,Fire Services,User Fees & Donations,,17289822.08
2018,Fleet Services,Contribution From Reserves/Reserve Funds,,126255.84
2018,Fleet Services,Inter-Divisional Recoveries,,50233422.81
2018,Fleet Services,Sundry and Other Revenues,,6441888.89
2018,Fleet Services,Transfers from Capital Fund,,1066993.11
2018,Heritage Toronto,Federal Subsidies,,20000
2018,Heritage Toronto,Sundry and Other Revenues,,119000.01
2018,Heritage Toronto,User Fees & Donations,,384500
2018,Information & Technology,Contribution From Reserves/Reserve Funds,,4782756.47
2018,Information & Technology,Inter-Divisional Recoveries,,16218232.38
2018,Information & Technology,Sundry and Other Revenues,,634276.14
2018,Information & Technology,Transfers from Capital Fund,,32082770.82
2018,Information & Technology,User Fees & Donations,,223504.18
2018,Legal Services,Contribution From Reserves/Reserve Funds,,1790097
2018,Legal Services,Inter-Divisional Recoveries,,29450053.25
2018,Legal Services,Sundry and Other Revenues,,5368764.95
2018,Legal Services,Transfers from Capital Fund,,2189960.07
2018,Legal Services,User Fees & Donations,,4468212.1
2018,Long Term Care Homes & Services,Inter-Divisional Recoveries,,104400
2018,Long Term Care Homes & Services,Provincial Subsidies,,160624127.4
2018,Long Term Care Homes & Services,Sundry and Other Revenues,,176500
2018,Long Term Care Homes & Services,Transfers from Capital Fund,,300000
2018,Long Term Care Homes & Services,User Fees & Donations,,51575300
2018,Municipal Licensing & Standards,Inter-Divisional Recoveries,,1511945.47
2018,Municipal Licensing & Standards,Licences & Permits Revenue,,29570012.71
2018,Municipal Licensing & Standards,Sundry and Other Revenues,,1119046.95
2018,Municipal Licensing & Standards,Transfers from Capital Fund,,213954.88
2018,Municipal Licensing & Standards,User Fees & Donations,,4521483.59
2018,Non-Program Expenditures,Contribution From Reserves/Reserve Funds,,179854326.9
2018,Non-Program Expenditures,Sundry and Other Revenues,,5752286
2018,Non-Program Expenditures,User Fees & Donations,,5342000
2018,Non-Program Revenues,Contribution From Reserves/Reserve Funds,,91600000
2018,Non-Program Revenues,Inter-Divisional Recoveries,,35299700
2018,Non-Program Revenues,Licences & Permits Revenue,,4380432
2018,Non-Program Revenues,Sundry and Other Revenues,,1414247434
2018,Non-Program Revenues,User Fees & Donations,,28451442.82
2018,Non-Program Taxation Tax Levy,Sundry and Other Revenues,,4245553082
2018,Office of the Chief Financial Officer,Contribution From Reserves/Reserve Funds,,2399897.22
2018,Office of the Chief Financial Officer,Inter-Divisional Recoveries,,3478479.84
2018,Office of the Chief Financial Officer,Transfers from Capital Fund,,1546575.73
2018,Office of the Treasurer,Contribution From Reserves/Reserve Funds,,4044460.29
2018,Office of the Treasurer,Inter-Divisional Recoveries,,23645637.01
2018,Office of the Treasurer,Sundry and Other Revenues,,3818933.36
2018,Office of the Treasurer,Transfers from Capital Fund,,2149587.84
2018,Office of the Treasurer,User Fees & Donations,,13851393.02
2018,"Parks, Forestry & Recreation",Contribution From Reserves/Reserve Funds,,18469476.79
2018,"Parks, Forestry & Recreation",Federal Subsidies,,3500000
2018,"Parks, Forestry & Recreation",Inter-Divisional Recoveries,,7444571.86
2018,"Parks, Forestry & Recreation",Licences & Permits Revenue,,8323395.02
2018,"Parks, Forestry & Recreation",Provincial Subsidies,,819972.1
2018,"Parks, Forestry & Recreation",Sundry and Other Revenues,,2967843.36
2018,"Parks, Forestry & Recreation",Transfers from Capital Fund,,16442358.59
2018,"Parks, Forestry & Recreation",User Fees & Donations,,87900663.33
2018,"Policy, Planning, Finance & Administration",Inter-Divisional Recoveries,,8771327.16
2018,"Policy, Planning, Finance & Administration",Provincial Subsidies,,225000
2018,"Policy, Planning, Finance & Administration",Sundry and Other Revenues,,2310243.32
2018,"Policy, Planning, Finance & Administration",Transfers from Capital Fund,,2765436.93
2018,"Policy, Planning, Finance & Administration",User Fees & Donations,,10000
2018,"Shelter, Support & Housing Administration",Contribution From Reserves/Reserve Funds,,30606362.71
2018,"Shelter, Support & Housing Administration",Federal Subsidies,,128746014.9
2018,"Shelter, Support & Housing Administration",Inter-Divisional Recoveries,,11250
2018,"Shelter, Support & Housing Administration",Provincial Subsidies,,242291498
2018,"Shelter, Support & Housing Administration",Sundry and Other Revenues,,3544181
2018,"Shelter, Support & Housing Administration",Transfers from Capital Fund,,2038525.8
2018,"Social Development, Finance & Administration",Contribution From Reserves/Reserve Funds,,3774717
2018,"Social Development, Finance & Administration",Federal Subsidies,,3546228.5
2018,"Social Development, Finance & Administration",Inter-Divisional Recoveries,,2427793.03
2018,"Social Development, Finance & Administration",Provincial Subsidies,,5246786.6
2018,"Social Development, Finance & Administration",Sundry and Other Revenues,,526781.15
2018,"Social Development, Finance & Administration",Transfers from Capital Fund,,236089.99
2018,Solid Waste Management Services,Inter-Divisional Recoveries,,6092413.86
2018,Solid Waste Management Services,Provincial Subsidies,,24817013.5
2018,Solid Waste Management Services,Sundry and Other Revenues,,66702402.21
2018,Solid Waste Management Services,Transfers from Capital Fund,,4907291.54
2018,Solid Waste Management Services,User Fees & Donations,,302669697.7
2018,Theatres,Contribution From Reserves/Reserve Funds,,1914132.96
2018,Theatres,Sundry and Other Revenues,,6950235
2018,Theatres,User Fees & Donations,,18220301
2018,Toronto & Region Conservation Authority,Provincial Subsidies,,1716000
2018,Toronto & Region Conservation Authority,Sundry and Other Revenues,,10582000
2018,Toronto & Region Conservation Authority,User Fees & Donations,,29682700
2018,Toronto Atmospheric Fund,Sundry and Other Revenues,,4000000
2018,Toronto Atmospheric Fund,User Fees & Donations,,400000
2018,Toronto Building,Contribution From Reserves/Reserve Funds,,509778.74
2018,Toronto Building,Inter-Divisional Recoveries,,1153740.4
2018,Toronto Building,Licences & Permits Revenue,,62486186.44
2018,Toronto Building,Sundry and Other Revenues,,39999.12
2018,Toronto Building,User Fees & Donations,,2850081.1
2018,Toronto Employment & Social Services,Contribution From Reserves/Reserve Funds,,22355653.85
2018,Toronto Employment & Social Services,Inter-Divisional Recoveries,,926419.11
2018,Toronto Employment & Social Services,Provincial Subsidies,,963058951.5
2018,Toronto Employment & Social Services,Sundry and Other Revenues,,18834915.16
2018,Toronto Employment & Social Services,Transfers from Capital Fund,,1205066
2018,Toronto Paramedic Services,Inter-Divisional Recoveries,,594042
2018,Toronto Paramedic Services,Provincial Subsidies,,138880730.8
2018,Toronto Paramedic Services,Sundry and Other Revenues,,607436.82
2018,Toronto Paramedic Services,Transfers from Capital Fund,,314000
2018,Toronto Paramedic Services,User Fees & Donations,,1180185
2018,Toronto Parking Authority,Sundry and Other Revenues,,5275212
2018,Toronto Parking Authority,User Fees & Donations,,160925096
2018,Toronto Police Service,Contribution From Reserves/Reserve Funds,,21931200
2018,Toronto Police Service,Inter-Divisional Recoveries,,17935529
2018,Toronto Police Service,Provincial Subsidies,,42802500.04
2018,Toronto Police Service,Sundry and Other Revenues,,11811699.96
2018,Toronto Police Service,User Fees & Donations,,45442971
2018,Toronto Police Services Board,Contribution From Reserves/Reserve Funds,,500000
2018,Toronto Public Health,Contribution From Reserves/Reserve Funds,,17500
2018,Toronto Public Health,Federal Subsidies,,923898.15
2018,Toronto Public Health,Inter-Divisional Recoveries,,1631931.55
2018,Toronto Public Health,Provincial Subsidies,,180226299
2018,Toronto Public Health,Sundry and Other Revenues,,2214000.88
2018,Toronto Public Health,Transfers from Capital Fund,,2083000
2018,Toronto Public Health,User Fees & Donations,,1010520.08
2018,Toronto Public Library,Contribution From Reserves/Reserve Funds,,4808000
2018,Toronto Public Library,Provincial Subsidies,,5695400
2018,Toronto Public Library,Sundry and Other Revenues,,2209000
2018,Toronto Public Library,Transfers from Capital Fund,,1128660
2018,Toronto Public Library,User Fees & Donations,,5482600
2018,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,14000000.01
2018,Toronto Transit Commission - Conventional,Transfers from Capital Fund,,3600000
2018,Toronto Transit Commission - Conventional,User Fees & Donations,,1229979600
2018,Toronto Transit Commission - Wheel Trans,User Fees & Donations,,8631100
2018,Toronto Water,Contribution From Reserves/Reserve Funds,,195000
2018,Toronto Water,Inter-Divisional Recoveries,,47017
2018,Toronto Water,Sundry and Other Revenues,,1229950588
2018,Toronto Water,Transfers from Capital Fund,,4726400.97
2018,Toronto Water,User Fees & Donations,,54058072.66
2018,Toronto Zoo,Contribution From Reserves/Reserve Funds,,386000
2018,Toronto Zoo,Provincial Subsidies,,1011499.97
2018,Toronto Zoo,Sundry and Other Revenues,,721199.99
2018,Toronto Zoo,Transfers from Capital Fund,,171000
2018,Toronto Zoo,User Fees & Donations,,37719545.8
2018,Transportation Services,Contribution From Reserves/Reserve Funds,,19427275.16
2018,Transportation Services,Inter-Divisional Recoveries,,8582106.38
2018,Transportation Services,Licences & Permits Revenue,,18199745.64
2018,Transportation Services,Sundry and Other Revenues,,58202396.82
2018,Transportation Services,Transfers from Capital Fund,,31413934.32
2018,Transportation Services,User Fees & Donations,,48556588.59
2018,Yonge-Dundas Square,Licences & Permits Revenue,,320000
2018,Yonge-Dundas Square,Sundry and Other Revenues,,1126494.99
2018,Yonge-Dundas Square,User Fees & Donations,,1660000
2019,311 Toronto,Contribution To Reserves/Reserve Funds,27828.64,
2019,311 Toronto,Equipment,100300,
2019,311 Toronto,Inter-Divisional Charges,197879.61,
2019,311 Toronto,Materials & Supplies,12410,
2019,311 Toronto,Salaries And Benefits,17649425.29,
2019,311 Toronto,Service And Rent,1340251,
2019,Affordable Housing Office,Contribution To Reserves/Reserve Funds,6187.63,
2019,Affordable Housing Office,Equipment,1998,
2019,Affordable Housing Office,Inter-Divisional Charges,929647,
2019,Affordable Housing Office,Materials & Supplies,33151,
2019,Affordable Housing Office,Salaries And Benefits,3445136.48,
2019,Affordable Housing Office,Service And Rent,6660855,
2019,Arena Boards of Management,Contributions to Capital,525000,
2019,Arena Boards of Management,Contribution To Reserves/Reserve Funds,286683.99,
2019,Arena Boards of Management,Equipment,55499.98,
2019,Arena Boards of Management,Materials & Supplies,2557955.43,
2019,Arena Boards of Management,Salaries And Benefits,5091228.54,
2019,Arena Boards of Management,Service And Rent,1266074.15,
2019,Association of Community Centres,Contribution To Reserves/Reserve Funds,31049.36,
2019,Association of Community Centres,Equipment,4754.9,
2019,Association of Community Centres,Materials & Supplies,499361.89,
2019,Association of Community Centres,Other Expenditures,1500,
2019,Association of Community Centres,Salaries And Benefits,7385460.31,
2019,Association of Community Centres,Service And Rent,674764.23,
2019,Auditor General's Office,Contribution To Reserves/Reserve Funds,8160.91,
2019,Auditor General's Office,Equipment,187746.32,
2019,Auditor General's Office,Inter-Divisional Charges,22272,
2019,Auditor General's Office,Materials & Supplies,11096.72,
2019,Auditor General's Office,Salaries And Benefits,6079914.41,
2019,Auditor General's Office,Service And Rent,329432.52,
2019,Capital & Corporate Finance / Non-Program,Contributions to Capital,339020202.5,
2019,Capital & Corporate Finance / Non-Program,Contribution To Reserves/Reserve Funds,20911638,
2019,Capital & Corporate Finance / Non-Program,Inter-Divisional Charges,1486634.29,
2019,Capital & Corporate Finance / Non-Program,Other Expenditures,637405887.4,
2019,Children's Services,Contributions to Capital,1299000,
2019,Children's Services,Contribution To Reserves/Reserve Funds,17123919.17,
2019,Children's Services,Equipment,982388.01,
2019,Children's Services,Inter-Divisional Charges,3180659.93,
2019,Children's Services,Materials & Supplies,2652605.42,
2019,Children's Services,Other Expenditures,2000600,
2019,Children's Services,Salaries And Benefits,100802239.8,
2019,Children's Services,Service And Rent,529352237.8,
2019,City Clerk's Office,Contribution To Reserves/Reserve Funds,226632.78,
2019,City Clerk's Office,Equipment,120253.75,
2019,City Clerk's Office,Inter-Divisional Charges,943361.31,
2019,City Clerk's Office,Materials & Supplies,1084049.18,
2019,City Clerk's Office,Other Expenditures,38735,
2019,City Clerk's Office,Salaries And Benefits,40976032.06,
2019,City Clerk's Office,Service And Rent,9236274.55,
2019,City Council,Contribution To Reserves/Reserve Funds,105351.23,
2019,City Council,Equipment,256755.03,
2019,City Council,Inter-Divisional Charges,206475.88,
2019,City Council,Materials & Supplies,794820.74,
2019,City Council,Salaries And Benefits,19107845.06,
2019,City Council,Service And Rent,1709356.05,
2019,City Manager's Office,Contribution To Reserves/Reserve Funds,93950.46,
2019,City Manager's Office,Equipment,105878.32,
2019,City Manager's Office,Inter-Divisional Charges,185276.22,
2019,City Manager's Office,Materials & Supplies,139548.85,
2019,City Manager's Office,Salaries And Benefits,54051892.09,
2019,City Manager's Office,Service And Rent,4337585.97,
2019,City Planning,Contribution To Reserves/Reserve Funds,90999.29,
2019,City Planning,Equipment,267520.89,
2019,City Planning,Inter-Divisional Charges,1589600.35,
2019,City Planning,Materials & Supplies,133047.7,
2019,City Planning,Other Expenditures,1905700.02,
2019,City Planning,Salaries And Benefits,49058054.83,
2019,City Planning,Service And Rent,1901613.09,
2019,Court Services,Contribution To Reserves/Reserve Funds,92289.58,
2019,Court Services,Equipment,115130,
2019,Court Services,Inter-Divisional Charges,18346897.94,
2019,Court Services,Materials & Supplies,141496.09,
2019,Court Services,Other Expenditures,2812400,
2019,Court Services,Salaries And Benefits,19787822.88,
2019,Court Services,Service And Rent,11070436.67,
2019,CreateTO,Equipment,247985,
2019,CreateTO,Materials & Supplies,83280,
2019,CreateTO,Other Expenditures,17400,
2019,CreateTO,Salaries And Benefits,10338485.35,
2019,CreateTO,Service And Rent,2153992,
2019,Economic Development & Culture,Contribution To Reserves/Reserve Funds,176176.17,
2019,Economic Development & Culture,Equipment,182083.45,
2019,Economic Development & Culture,Inter-Divisional Charges,1102395.76,
2019,Economic Development & Culture,Materials & Supplies,1320105.82,
2019,Economic Development & Culture,Other Expenditures,40803124.02,
2019,Economic Development & Culture,Salaries And Benefits,30854459.05,
2019,Economic Development & Culture,Service And Rent,8750097.74,
2019,Engineering & Construction Services,Contribution To Reserves/Reserve Funds,769241.3,
2019,Engineering & Construction Services,Equipment,868195.39,
2019,Engineering & Construction Services,Inter-Divisional Charges,3597936.99,
2019,Engineering & Construction Services,Materials & Supplies,337461.33,
2019,Engineering & Construction Services,Salaries And Benefits,67641266.58,
2019,Engineering & Construction Services,Service And Rent,3123279.55,
2019,Exhibition Place,Contribution To Reserves/Reserve Funds,2140998.06,
2019,Exhibition Place,Equipment,522000,
2019,Exhibition Place,Materials & Supplies,4400826.59,
2019,Exhibition Place,Salaries And Benefits,31765646,
2019,Exhibition Place,Service And Rent,17765177.35,
2019,"Facilities, Real Estate, Environment & Energy",Contribution To Reserves/Reserve Funds,2110151.38,
2019,"Facilities, Real Estate, Environment & Energy",Equipment,585333.55,
2019,"Facilities, Real Estate, Environment & Energy",Inter-Divisional Charges,3824056.58,
2019,"Facilities, Real Estate, Environment & Energy",Materials & Supplies,35597364.82,
2019,"Facilities, Real Estate, Environment & Energy",Other Expenditures,3222483.78,
2019,"Facilities, Real Estate, Environment & Energy",Salaries And Benefits,104876725.8,
2019,"Facilities, Real Estate, Environment & Energy",Service And Rent,56579279.03,
2019,Fire Services,Contribution To Reserves/Reserve Funds,10123461.64,
2019,Fire Services,Equipment,988970.9,
2019,Fire Services,Inter-Divisional Charges,10206997.57,
2019,Fire Services,Materials & Supplies,9450479.46,
2019,Fire Services,Salaries And Benefits,454989146.5,
2019,Fire Services,Service And Rent,8310381.33,
2019,Fleet Services,Contribution To Reserves/Reserve Funds,2225155.91,
2019,Fleet Services,Equipment,218529.88,
2019,Fleet Services,Inter-Divisional Charges,598139.07,
2019,Fleet Services,Materials & Supplies,26776824.59,
2019,Fleet Services,Salaries And Benefits,20155082.07,
2019,Fleet Services,Service And Rent,8609185.38,
2019,Heritage Toronto,Contribution To Reserves/Reserve Funds,1360.53,
2019,Heritage Toronto,Materials & Supplies,60000.05,
2019,Heritage Toronto,Salaries And Benefits,728350,
2019,Heritage Toronto,Service And Rent,322325,
2019,Information & Technology,Contribution To Reserves/Reserve Funds,138842,
2019,Information & Technology,Equipment,858134.92,
2019,Information & Technology,Inter-Divisional Charges,485374.73,
2019,Information & Technology,Materials & Supplies,47267.3,
2019,Information & Technology,Other Expenditures,395.7,
2019,Information & Technology,Salaries And Benefits,103524428.8,
2019,Information & Technology,Service And Rent,28654051.04,
2019,Integrity Commissioner's Office,Contribution To Reserves/Reserve Funds,4464.53,
2019,Integrity Commissioner's Office,Equipment,56.58,
2019,Integrity Commissioner's Office,Inter-Divisional Charges,400,
2019,Integrity Commissioner's Office,Materials & Supplies,1638.68,
2019,Integrity Commissioner's Office,Salaries And Benefits,550531.66,
2019,Integrity Commissioner's Office,Service And Rent,18633.89,
2019,Legal Services,Contribution To Reserves/Reserve Funds,75570.09,
2019,Legal Services,Equipment,132924.17,
2019,Legal Services,Inter-Divisional Charges,7661900.04,
2019,Legal Services,Materials & Supplies,539618.22,
2019,Legal Services,Salaries And Benefits,55108761.95,
2019,Legal Services,Service And Rent,2149920.88,
2019,Long Term Care Homes & Services,Contribution To Reserves/Reserve Funds,1959788.19,
2019,Long Term Care Homes & Services,Equipment,3497600,
2019,Long Term Care Homes & Services,Inter-Divisional Charges,791395.97,
2019,Long Term Care Homes & Services,Materials & Supplies,22553559.21,
2019,Long Term Care Homes & Services,Other Expenditures,192400,
2019,Long Term Care Homes & Services,Salaries And Benefits,217784321.5,
2019,Long Term Care Homes & Services,Service And Rent,21720649.23,
2019,Mayor's Office,Inter-Divisional Charges,4063.45,
2019,Mayor's Office,Materials & Supplies,3965.6,
2019,Mayor's Office,Salaries And Benefits,2527005.12,
2019,Mayor's Office,Service And Rent,31970.48,
2019,Municipal Licensing & Standards,Contribution To Reserves/Reserve Funds,873101.07,
2019,Municipal Licensing & Standards,Equipment,444828.4,
2019,Municipal Licensing & Standards,Inter-Divisional Charges,4064210.43,
2019,Municipal Licensing & Standards,Materials & Supplies,1017998.18,
2019,Municipal Licensing & Standards,Other Expenditures,1101899.98,
2019,Municipal Licensing & Standards,Salaries And Benefits,52288415.52,
2019,Municipal Licensing & Standards,Service And Rent,2250081.24,
2019,Non-Program Expenditures,Contribution To Reserves/Reserve Funds,89104600,
2019,Non-Program Expenditures,Equipment,16500,
2019,Non-Program Expenditures,Inter-Divisional Charges,21371794.22,
2019,Non-Program Expenditures,Materials & Supplies,13500,
2019,Non-Program Expenditures,Other Expenditures,161478652.5,
2019,Non-Program Expenditures,Salaries And Benefits,146759620.2,
2019,Non-Program Expenditures,Service And Rent,199420807.7,
2019,Non-Program Revenues,Contribution To Reserves/Reserve Funds,47608421,
2019,Non-Program Revenues,Inter-Divisional Charges,8296779.76,
2019,Non-Program Revenues,Other Expenditures,30807434.24,
2019,Non-Program Revenues,Service And Rent,11908567.51,
2019,Non-Program Taxation Tax Levy,Contribution To Reserves/Reserve Funds,84586103.6,
2019,Office of the Chief Financial Officer,Contribution To Reserves/Reserve Funds,80141.99,
2019,Office of the Chief Financial Officer,Equipment,48065,
2019,Office of the Chief Financial Officer,Inter-Divisional Charges,64814.3,
2019,Office of the Chief Financial Officer,Materials & Supplies,40238.24,
2019,Office of the Chief Financial Officer,Other Expenditures,499.52,
2019,Office of the Chief Financial Officer,Salaries And Benefits,19939974.44,
2019,Office of the Chief Financial Officer,Service And Rent,709782.03,
2019,Office of the Controller,Contribution To Reserves/Reserve Funds,138915.22,
2019,Office of the Controller,Equipment,119300.79,
2019,Office of the Controller,Inter-Divisional Charges,2954912.37,
2019,Office of the Controller,Materials & Supplies,222801.04,
2019,Office of the Controller,Other Expenditures,2357264.55,
2019,Office of the Controller,Salaries And Benefits,64798739.27,
2019,Office of the Controller,Service And Rent,10457194.08,
2019,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1687.68,
2019,Office of the Lobbyist Registrar,Inter-Divisional Charges,5400,
2019,Office of the Lobbyist Registrar,Materials & Supplies,7344.44,
2019,Office of the Lobbyist Registrar,Salaries And Benefits,1126765.21,
2019,Office of the Lobbyist Registrar,Service And Rent,93884.41,
2019,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,2244.85,
2019,Office of the Ombudsman,Equipment,4385.9,
2019,Office of the Ombudsman,Inter-Divisional Charges,8209.63,
2019,Office of the Ombudsman,Materials & Supplies,5235.32,
2019,Office of the Ombudsman,Salaries And Benefits,1698189.93,
2019,Office of the Ombudsman,Service And Rent,272629.35,
2019,"Parks, Forestry & Recreation",Contribution To Reserves/Reserve Funds,15824349.31,
2019,"Parks, Forestry & Recreation",Equipment,2736982.3,
2019,"Parks, Forestry & Recreation",Inter-Divisional Charges,24904009.96,
2019,"Parks, Forestry & Recreation",Materials & Supplies,40969927.06,
2019,"Parks, Forestry & Recreation",Other Expenditures,11459877.22,
2019,"Parks, Forestry & Recreation",Salaries And Benefits,312991604.2,
2019,"Parks, Forestry & Recreation",Service And Rent,67738344.38,
2019,"Policy, Planning, Finance & Administration",Contribution To Reserves/Reserve Funds,108777.22,
2019,"Policy, Planning, Finance & Administration",Equipment,313087.42,
2019,"Policy, Planning, Finance & Administration",Inter-Divisional Charges,727063.61,
2019,"Policy, Planning, Finance & Administration",Materials & Supplies,720467.93,
2019,"Policy, Planning, Finance & Administration",Salaries And Benefits,21870383.98,
2019,"Policy, Planning, Finance & Administration",Service And Rent,1524835.92,
2019,"Shelter, Support & Housing Administration",Contribution To Reserves/Reserve Funds,1371439.38,
2019,"Shelter, Support & Housing Administration",Equipment,361632.53,
2019,"Shelter, Support & Housing Administration",Inter-Divisional Charges,2913233.84,
2019,"Shelter, Support & Housing Administration",Materials & Supplies,4580240.21,
2019,"Shelter, Support & Housing Administration",Other Expenditures,776173412.6,
2019,"Shelter, Support & Housing Administration",Salaries And Benefits,88411113.27,
2019,"Shelter, Support & Housing Administration",Service And Rent,129890773.3,
2019,"Social Development, Finance & Administration",Contribution To Reserves/Reserve Funds,126860.11,
2019,"Social Development, Finance & Administration",Equipment,103484.4,
2019,"Social Development, Finance & Administration",Inter-Divisional Charges,883128.07,
2019,"Social Development, Finance & Administration",Materials & Supplies,358378.17,
2019,"Social Development, Finance & Administration",Other Expenditures,30659289,
2019,"Social Development, Finance & Administration",Salaries And Benefits,21426596.65,
2019,"Social Development, Finance & Administration",Service And Rent,20767048.77,
